id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
58fd6094-aa06-487e-85fe-4376cd81f0ab,3 Brewers,brewpub,275 Yonge Street,,,Toronto,Ontario,M5B1N8,Canada,(647) 347-6286,https://www.les3brasseurs.ca/en/find-a-3-brasseurs/,-79.3804435,43.655522100000006
a34cb542-e683-4e86-ac8a-d285f891f083,5 Paddles Brewing Company,micro,1 Industrial Blvd,,,Whitby,Ontario,L1N 9L5,Canada,9054445050.0,http://5paddlesbrewing.com,,
12e7f950-af94-4014-abdf-e09600209de9,555 Brewing Co.,micro,297 Main St,,,Wellington,Ontario,K0K 3L0,Canada,,http://www.555beer.com,,
77789be2-5bfb-4a17-9e85-5cf50411d2f3,Abe Erb Brewery,brewpub,41 King William St,,,Kitchener,Ontario,N2G 1A1,Canada,5197420009.0,http://abeerb.com,,
3739eb53-8291-42e1-894c-7989ed872f2d,All or Nothing Brewhouse,brewpub,165 Lakeshore Rd E,,,Oakville,Ontario,L6J 1H3,Canada,,http://allornothing.beer,,
3502ea97-053f-48b4-a0f8-bda50f63f11c,Amsterdam Barrel House,brewpub,87 Laird Drive,,,Toronto,Ontario,M4G3T7,Canada,(416) 504-1060,http://www.amsterdambeer.com/,-79.3614605,43.706078
75c3d25e-3af4-4275-8195-0027095e8bfb,Amsterdam Brewery,brewpub,45 Esandar Drive,,,Toronto,Ontario,M4G4C5,Canada,(416) 504-1040,http://www.amsterdambeer.com/,-79.3569392,43.70652369999999
0ca77251-a864-4c0b-b4f1-dbca8de2dc8a,Amsterdam Brewhouse,brewpub,247 Queens Quay W,,,Toronto,Ontario,M5J2N3,Canada,(416) 504-1020,http://www.amsterdambeer.com/,-79.3854978,43.639115400000016
20502436-b1ab-4f6a-9df4-36f465071947,Anderson Craft Ales,micro,1030 Elias St,,,London,Ontario,N5W 5J7,Canada,,http://andersoncraftales.ca,,
d7d60dca-5554-4aea-b906-bd768ae233a0,Arch Brewing Co.,micro,13355 Yonge St,,,Richmond Hill,Ontario,L4E 3L8,Canada,,http://www.archbrewing.ca,,
